customer_msg,reply_k1,judge_k1,reply_k3,judge_k3,reply_k0,judge_k0
"@115940 sorry but your ""Live TV"" is sub par, and I WILL be canceling. Guess I'll be going back to @115946","Sorry to hear that, we're always working to improve our Live TV offerings. We'll definitely pass on your feedback about TWD. Let us know if there's anything specific you'd like to see!",5,"Sorry to hear that, it sounds like there might be some issues with Live TV. Let's see if we can get this sorted out: https://t.co/FLnKKIXnh9. If you're still having trouble, we're here to help or pass along specific feedback for our team.",5,"We're sorry to hear you're having issues with your Live TV plan. Your feedback is valuable to us, and we're here to help find a solution. Please let us know how we can assist you.",5
"@hulu_support Who in the hell do you think you are?! I go to your website for help, confirmed it’s your website you want me to put a five dollar deposit for support so that you can figure out why you’re running eight commercials instead of the four at the top of my screen?!","We're sorry to hear about the commercials, folks! Could you please let us know the details of the issue you're experiencing so we can assist you better?",5,"We're sorry to hear about the commercials, folks! Could you please let us know which device you're using and any specific issues you're experiencing? We're here to help!",5,"We apologize for the inconvenience you're experiencing with the number of commercials. We understand your frustration, and our team is here to assist you. Please let us know how we can help resolve this issue.",5
@hulu_support Hi i was charged for a subscription and didn't sign up for it,That sounds unusual. 🤔 We can investigate this for you. Please call the phone number provided here: https://t.co/eJgyvCWdBS. 📲,5,That's odd. 🤔 We can assist further if you give us a call using the number here: https://t.co/eJgyvCWdBS. 📲,5,We apologize for any confusion. We’ve received your inquiry regarding an unexpected charge. Please provide your subscription details so we can investigate further. Thank you for your patience as we look into this.,5
Why am I getting this message only on my phone .@115940? Can watch on every other devise.,Sorry for any trouble! We don't currently have rights to stream content outside the US. Could you check if you're accessing the app from within the US or using a device other than your phone?,5,"That's frustrating to hear! Try checking our troubleshooting guide: https://t.co/HXpLyTU79x, and let us know if that helps or if you need further assistance.",4,"We're sorry to hear you're experiencing issues with the app on your phone. This could be due to a variety of reasons, such as app version or network connectivity. Please try updating the app or checking your internet connection, and let us know if that helps.",4
@hulu_support @115940 any updates on bringing iCarly to Hulu?,"Got it! We're looking into bringing iCarly to Hulu. In the meantime, try refreshing the page or signing out and back in. Any luck?",3,"Sure thing! We're looking into bringing iCarly to Hulu for you. In the meantime, check out: https://t.co/r9MCqHxrfq to see what else is coming soon!",4,We appreciate your interest in bringing iCarly to Hulu. We are continually evaluating content partnerships and additions to our library. Please stay tuned for any updates!,4
@hulu_support Are there any issues on your end? Program pauses/buffers throughout episode but commercials come through with no issues. Speeds on my end are sufficient.,"Is it possible to share a video of the behavior? For now, please work through these: https://t.co/wAoEicy9CF.",5,Sorry to hear you're experiencing that. Could you try calling or chatting with us here: https://t.co/6YdK7bvQN7? This might help us diagnose the issue: https://t.co/HXpLyTU79x.,5,"We're sorry to hear you're experiencing playback issues. It sounds like the problem might be network-related. We recommend checking your internet connection and ensuring it's stable during playback. If the issue persists, feel free to let us know!",4
"Man @115940 help center sucks. They charged me months after I canceled and they I've spend 30 minutes on chat where the guy answers every 4 minutes, then starts asking me to look up my past history on my bank account to figure out when I cancelled. Ridiculous. #Hulu",Ouch! We're sorry to hear about the frustration. Let's see how we can assist. Please share any details you can. 👍🏽,5,Yikes! We're sorry to hear about the issues. Please DM your email address/zip code so we can look into this for you. 👍🏽,5,"We apologize for the inconvenience you've experienced. We're here to assist you, and our support team is working hard to improve the response time and efficiency. Please provide us with your account details, and we'll investigate the issue further.",4
Are the new @1684 Christmas Movies going to be on @115940?,Sure thing! Keep an eye out for new holiday favorites like The Christmas Chronicles (https://t.co/9jKxL3pQ8m) or A Mistletoe Mystery (https://t.co/3z7fKxvYR5). 🎄,5,Hey! Looking for new Christmas movies? Check out The Christmas Chronicles (https://t.co/0LqGEVZonz) or A Christmas Carol (https://t.co/cuOuZ7xM76). Let us know if there are specific titles you're interested in!,5,We're excited about the upcoming Christmas movies and are working to add them to our lineup. Keep an eye on your Hulu home screen for updates!,4
Dear @115940 fix your shit. This buffering is insufferable.,"Apologies! Still having trouble? If so, try: https://t.co/HXpLyTU79x. If that's no help, let us know your device and playback errors.",5,"Apologies! Still having trouble? If so, try: https://t.co/HXpLyTU79x. If that's no help, head over to our support page or chat with us for further assistance.",5,We apologize for the buffering issues you're experiencing. We're working hard to improve the streaming experience for all our users. Please let us know if you have any other concerns.,3
"Here’s the deal, @115940:

You keep giving me old school, pre-CGI, late-1970s Hulk, and I promise not to get angry.

You wouldn’t like me when I’m angry. https://t.co/srDUomyAvy","Got it! Just to clarify, are you experiencing issues with the Hulk content quality, or is there something else going on with your viewing experience? https://t.co/HXpLyTU79x",4,"Got it! If you're seeing older Hulk content, we're just trying to offer a variety. Let us know if trying different settings or signing out and back in helps: https://t.co/HXpLyTU79x. Thanks for letting us know!",4,We understand your preference for more classic Hulk content. We'll pass on your feedback to our team to consider for future selections. Thank you for letting us know!,4
"Um, @hulu_support , how is it that you're taking money from my account when I literally unsubscribed to you months ago? I renewed and wth?",Sorry to hear about this! Chat with us here: https://t.co/6YdK7bvQN7 so we can take a closer look and get to the bottom of it.,5,"Sorry to hear about this issue! For assistance with unexpected charges, give us a call at the number here: https://t.co/LkhXOWWq74.",5,We appreciate your feedback. We’re looking into your account to understand the charges. Please provide your account details so we can assist you better.,4
"@115940 has lowered prices but only for new customers. Between that and the freezing issues, I have decided to cancel my subscription.","Sorry! We're aware of the freezing issues. As a workaround, try utilizing: https://t.co/qeNe09yc0o. We're working to get back up and running ASAP.",5,Sorry to hear about the issues! Please give this a try: https://t.co/qeNe09yc0o. We're working to get things back to normal as quickly as possible.,5,"We're sorry to hear about the playback issues you're experiencing. We're constantly working to improve the service, and we appreciate your feedback. Regarding the pricing, we aim to offer the best value to all our customers. Please let us know if there's anything specific we can help with before you cancel.",4
Hulu been saying my accounts on hold cuz I need to update my credit card... but they can still charge me?!? @115940 explain,"When you place your account on hold, it should prevent charges until you reactivate it. However, if you're still being charged, please check the status of your hold: https://t.co/ijNyKHHL2U. Let us know if you need further assistance.",5,"Understood! If your account is on hold due to a card update, it's important to ensure the new card info is correct. Once verified, any holds should be released shortly. If you're still seeing charges, please check your account status or give us a call at the number provided: https://t.co/LkhXOWWq74. Have your zip code and last 4 digits of the card ready!",4,"We understand your concern about your account being on hold due to a credit card update. While we can't charge your account until the update is complete, please ensure your credit card information is accurate to avoid any interruptions in service. Thank you for your understanding.",4
"@115940

Anyone know what the following error codes are and how to resolve them??

3(-971)
3(-996)",Our apologies for the trouble! Try: https://t.co/HXpLyTU79x. Call/chat if that doesn't take care of it (https://t.co/6YdK7bvQN7).,5,Our apologies for the trouble! Try the steps listed here: https://t.co/HiTFsfb2rK. Still need help? Call/chat with us: https://t.co/6YdK7bvQN7.,5,"We're sorry to hear you're experiencing playback issues. Error codes 3(-971) and 3(-996) typically indicate network or streaming problems. To resolve these, try restarting your device, checking your internet connection, or clearing your browser cache. If the issue persists, feel free to reach out for further assistance.",4
@115940 what's up with this new Modern Family where it at???,It's here! Check out the latest with the Dunphys at: https://t.co/1X3lJZ59CN. Enjoy! 💚,5,It's here! Dive into the latest episode: https://t.co/1X3lJZ59CN. Enjoy the Dunphys again! 💚,5,We're sorry to hear you're having trouble finding Modern Family. We're working hard to ensure all our shows are available. Please check back soon or let us know if you need any assistance locating it.,3
This is why Hulu is better than Netflix https://t.co/YBZZpmYUb5,"Please keep in mind that our base plan does not have Home limitations, making it a great choice for those who prefer a more flexible streaming experience.",4,"Thanks for sharing that, folks! If there's anything else we can help with, feel free to let us know. 💚",3,We're glad to hear you enjoy Hulu! Your feedback helps us continue to improve. Thanks for sharing your thoughts.,3
i'm nearly SO close to canceling my @115940 account because this damn toyota commercial freezes EVERY. SINGLE. TIME. 😡,Got it! Let's try to fix this for you. Which device are you using? And have you checked out our troubleshooting guide here: https://t.co/HXpLyTU79x?,5,Oh no! Is this on a Samsung device? Please call us or chat with us so we can collect some details: https://t.co/6YdK7bvQN7.,5,"We apologize for the frustration you're experiencing with the Toyota commercial. We understand how annoying it can be, and we're working to improve the viewing experience for everyone. Please let us know if there's anything specific we can assist with.",4
Does anyone like the new @115940 interface? Beautiful and terribly unpleasant to use.,Thanks for sharing your thoughts! Please let us know what you like or dislike about the new interface at: https://t.co/n4qDfJdbFR. Your feedback helps shape our updates.,5,We're glad you shared your thoughts! Could you please let us know what aspects of the new interface you find beautiful and where you encounter difficulties? Your feedback is valuable to us.,5,We appreciate your feedback on our new interface. Your thoughts help us improve the user experience for everyone. We're constantly working to balance beauty and usability.,4
I wonder why @115940 only buffers dying the show but some how never during the commercials 🤔🤷🏻‍♂️,"Oh no, that's frustrating! Please let us know your device and any other details, and we'll check it out. Try these steps for now: https://t.co/HXpLyTU79x.",5,"Oh no! Try rebooting your device+modem/router and see if that helps. For now, give these steps a try: https://t.co/HXpLyTU79x. Any improvement?",5,"We understand you're experiencing buffering issues during the show but not during commercials. This could be due to various factors, such as the content type or your internet connection. We recommend checking your internet speed and ensuring it meets our minimum requirements.",4
I just had 2hrs of the most frustrating tech support. How does @115940 chat support not know about the tv TV app? I was asked if  the TV app was a watchlist. They didn’t even know that Hulu supports the TV app. I had to tell them about deep linking.,"Oh no, sounds frustrating! Please try checking from a computer browser as mentioned: https://t.co/777zhIf5hM & https://t.co/rjjbP5u0Fj. Also, for the TV app, please visit https://t.co/Cf1Guq9H8d. Let us know if this helps!",5,"Oh no, we're sorry to hear about your frustration! Please try checking from a computer browser as shown here: https://t.co/777zhIf5hM & https://t.co/rjjbP5u0Fj. If you need further assistance, feel free to chat with us: https://t.co/6YdK7bvQN7.",5,"We apologize for the frustration you experienced during chat support. We appreciate your patience and will ensure our team is better informed about the Hulu TV app and deep linking. If you have more questions or need further assistance, please let us know.",5
So #MarvelsRunaways comes out tomorrow and neither my mom or brother remembers the Hulu password so I can't use it. 😑,"Sorry to hear that's frustrating. DM us the email on file and billing zip for the account, and we'll check it out!",5,"Sorry to hear that! If you're having trouble with the password, try resetting it here: https://t.co/6YdK7bvQN7. If you need further assistance, give us a call at the number provided: https://t.co/eJgyvCWdBS.",5,I'm sorry to hear you're having trouble accessing your account. Let's resolve this quickly so you can enjoy #MarvelsRunaways. Please try resetting your password through the Hulu website or app.,4
Not sure who it is but 1 of you suck @115940 @88064,"We're sorry to hear about the frustration, folks! Could you please let us know more about the issue so we can help turn things around?",5,We're sorry for any frustration! Could you let us know more about what's not working as expected? We'd love to help.,5,"We're sorry to hear that you're not having a great experience. Your feedback is important to us, and we're here to help. Please let us know more about the issue you're facing, and we'll do our best to assist you.",5
@115940 when are you going to get the rights to Rick and Morty season 3???,"No deets to share for our on-demand plans, but we'll pass your request to Birdperson! 🦜",5,"Hey there! We're on it, Eric. Adding Rick and Morty Season 3 to your Watchlist/My Stuff will keep you updated. 📺",4,"We understand how much you're looking forward to watching Rick and Morty Season 3. While we can't provide a specific timeline, we're always working to bring you the content you love. Thank you for your patience and support!",5
@hulu_support hello I am having trouble adding my location to my account so I can watch live tv on other devices.,Live TV is intended for single household use only. Could you please let us know the brand of the TV you're trying to add?,5,Hi! What specific trouble are you having with adding your location? Check out these tips: https://t.co/Nvg3PZWd0j. Let us know if that helps!,5,"We're here to help! To add your location for live TV on other devices, please sign in to your account and go to Settings > Account > Location. If you need further assistance, feel free to reach out.",4
@hulu_support Can't sign-up for Live TV on Hulu. I click on Live TV link from my account and it takes me right back to the Account page. What am I doing wrong?,"We understand the frustration this is causing, and our team is looking into it. If you could check the Live TV link from your account page again, we might be able to resolve the issue quickly.",5,Hi there! We're looking into this issue. Our team can assist you by calling or chatting: https://t.co/6YdK7bvQN7. Thanks for your patience!,5,"We're sorry to hear you're having trouble accessing Live TV. When you click the Live TV link, it should take you directly to the Live TV page. If you're redirected back to the Account page, try signing out and signing back in, or clear your browser cache and cookies. If the issue persists, feel free to reach out for further assistance.",5
"@hulu_support on Apple TV, skipping ahead causes show to go back to original spot after ad break, ads I watched play again. What can I do?","Sorry! When skipping ahead causes the show to go back to its original spot after an ad break, could you please check your Apple TV model (2, 3, or 4) and try these steps: https://t.co/HXpLyTU79x?",5,That sounds frustrating! Which Apple TV model do you have? Have you tried rebooting your device?,5,"We're sorry to hear you're experiencing issues with skipping ahead on Apple TV. This problem might be related to how the Apple TV handles ad breaks. Please try updating your Apple TV software to the latest version, as this could resolve the issue. If the problem persists, feel free to let us know, and we'll do our best to assist you further.",4
"Hey, Hulu, “live” is inaccurate today, as I do not recall tuning into the Buffering Broadcasting Corporation.","Sorry, it seems like you're experiencing issues with live broadcasts. Could you please let us know the device you're using and if any specific channels are affected? For now, try refreshing the page or restarting your device: https://t.co/HXpLyTU79x.",5,"Sorry to hear about the buffering. Please check the device you're using and try these steps: https://t.co/HXpLyTU79x. If the issue persists, let us know!",5,We're sorry to hear you're experiencing issues with playback. We're here to help troubleshoot. Could you please check your internet connection and try reloading the page or restarting your device?,4
@hulu_support ABC in Detroit market seems to have the picture and sound out of sync. Working well on other channels though.,"Noted! If you're experiencing picture and sound issues with ABC in Detroit, please give us a call or chat us up here: https://t.co/6YdK7bvQN7 and we'll check it out. 📺🔊",5,Got it! Thanks for letting us know about the sync issue with ABC in the Detroit market. Feel free to chat or call us here: https://t.co/6YdK7bvQN7 so we can take a closer look!,5,We appreciate you bringing this to our attention. We're looking into the issue with the Detroit market and will update you on any progress. Thank you for your patience.,4
@115940 y'all need a skip intro button,We can definitely forward your interest in this feature to our devs! We're always working to make updates based on viewer input. 💚,5,Thanks for the suggestion! We'll share this with the team for future consideration. 💚,5,We appreciate your feedback! We're always looking for ways to enhance your viewing experience. A skip intro button is a great idea that we'll consider for future updates.,5
Trying to watch 2006 version of Penelope and end up getting 1966's version. @115940 @hulu_support #whatsupwiththat #greatmoviebtw https://t.co/NosFHPqe6L,Let's make this right! Please reach out to us via phone or chat at https://t.co/6YdK7bvQN7 so we can look into why you're seeing the 1966 version instead of the 2006 version of Penelope. Thanks for bringing this to our attention!,5,"Let's make sure you're getting the right version! Could you please check if the correct year is selected in your settings? If not, let us know and we'll share your feedback with our team.",5,We're sorry for the mix-up with the version of Penelope. We understand how it can be confusing. We're here to help you find the content you're looking for. Let us know if you need assistance!,5
@hulu_support I'm canceling my sub this is why https://t.co/14iZTNHqxo #youtube,Sorry to hear that! Let us know if adding more content like the one you mentioned could change your mind. We'll share the interest in expanding our channel lineup.,4,"Sorry to hear about the issue, we'll make sure to share your feedback with the appropriate teams. Can we assist with anything else before you decide to cancel?",5,"Thank you for reaching out. We're sorry to see you go. Please let us know if there's anything specific about your subscription that we can address. For assistance, you can visit our Help Center or contact us directly.",5
"@hulu_support when is the UI going to be rolled back? Going to cancel if it isn’t soon. Practically unusable, very disappointed.","We're working hard to make updates based on feedback from viewers like you, so we'll be sure to pass along your input regarding the UI. Thank you for your patience and understanding.",5,We're working on enhancements based on viewer feedback. Noticed any error codes? Let's try: https://t.co/C3IOhQGizS. Any better after?,4,We're sorry to hear you're having trouble with the UI. We're actively working on improvements and appreciate your patience. Please let us know if there's anything specific we can assist with in the meantime.,4
"Anyone else having connection or playback issues with @115940???

 @hulu_support",Sorry to hear about the playback issues. We'll be forwarding your experience to our team so we can continue to make improvements.,5,Oh no! Anyone else experiencing connection or playback issues? Try checking out these steps: https://t.co/HXpLyTU79x. Let us know if that helps!,5,"We're sorry to hear you're experiencing playback issues. Many users are reporting similar problems, and our team is actively working on a solution. Thank you for your patience and understanding.",4
@hulu_support where is this week's shark tank?!?,Apologies! We're checking into the availability of this week's Shark Tank episode. Keep it in your Watchlist/My Stuff for updates. 💚,5,Apologies! Our team is checking into the availability for this week's Shark Tank episode. Keep it in your Watchlist/My Stuff for updates. 💚,5,"We appreciate your interest in this week's Shark Tank! Please check your Hulu library or browse the latest shows to see if it's available. If you can't find it, it might not be part of your current subscription. Explore other exciting shows and movies available now!",4
@hulu_support Episode 2 of Scientology &amp; Aftermath is mislabeled (Fair Game) and it's showing a Q &amp; A episode instead?,Uh oh! We certainly want to address this! Could you let us know which show you're referring to and the specific episode details so we can look into it?,5,Got it—thank you! We're now taking a closer look at this and working to correct the episode labels.,5,We apologize for the confusion with the episode labels. We are looking into this issue and will work to correct it as soon as possible. Thank you for bringing this to our attention.,5
Thanks to @115940 I missed the final five minutes of the first half of the Kentucky game and now nothing will stay live. Fantastic.,"Sorry about missing that part of the Kentucky game. There were some issues with Live TV, but we sent out a fix. Please reboot your device for 1-2 minutes.",5,"We're sorry to hear about missing those final minutes, folks! There were some issues with Live TV this weekend, but we've sent out a fix. Please reboot your device for 1-2 minutes and see if that helps.",5,I'm sorry to hear you missed the final five minutes of the Kentucky game and are experiencing issues with live streaming. We're here to help troubleshoot your issue. Could you please check your internet connection and try refreshing the page?,4
All I wanted to do was binge watch Bob's Burgers on Hulu. Every commercial was from Old Navy. I can't escape 😅,We understand how frustrating it can be to see the same ads repeatedly. Changing your ad preferences might help mix things up: https://t.co/4jUgTZxAj7. Let us know if you need any further assistance.,5,"Sorry to hear about the commercials, folks! We understand how it can be a bit frustrating. Let's try changing your ad preferences: https://t.co/4jUgTZxAj7. This might help mix things up for you. 😊",5,"We apologize for the commercial interruptions during your viewing experience. We strive to provide a seamless experience, and it sounds like we fell short. Please let us know if there's anything we can do to assist you further with Bob's Burgers or any other content.",5
@115940 ADD ALL THE SEASONS FOR MODERN FAMILY. Thank you,"Sorry for any trouble! At this time, we only have the rights to stream the current season. We'll share your interest in more seasons being added.",5,"Sorry for any trouble! At this time, we only have the rights to stream up to Season 9. We'll share your interest in having all seasons available. 🙏",5,Thank you for your feedback! We appreciate your suggestion to add all seasons of Modern Family. Your request has been noted and will be considered by our content team. Please stay tuned for updates!,4
@hulu_support When is Black Sails season 4 going to be added?,"Hi there! There's no set date, but season 4 will be available some point after it finishes airing on TV. Add to My Stuff/WL for alerts!",5,"Ahoy! Sorry we don't have any info to share at the moment, but we'll be sure to pass on your interest to the rest of the team! ☠️",5,"We appreciate your interest in Black Sails season 4. We don't have a specific release date at this time, but we'll keep you updated if it changes. Thank you for your patience!",4
@hulu_support when can you guys fix the PS4 app?,We're always working to improve our services: https://t.co/aLiMNa5EGq. Let us know if the steps we sent earlier didn't help.,5,Oh no! Let's try these: https://t.co/jo8RWfepy3. Call or chat us if that doesn't take care of it (https://t.co/6YdK7bvQN7).,5,"We're sorry to hear you're experiencing issues with the PS4 app. We're actively working to resolve any problems, and we appreciate your patience while we address them.",3
About to cancel @115940 TV...the app is horrible and doesn't work with Amazon firestick. TOTAL GARBAGE!!! @hulu_support,"Sorry to hear about the issues, we understand how frustrating this can be. Have you tried checking out this link for troubleshooting tips? https://t.co/TR6ei0cnf1",5,Sorry to hear this! Please call/chat so we can investigate: https://t.co/6YdK7bvQN7,5,We're sorry to hear about your experience with the app on Amazon Firestick. We understand how frustrating it can be when things don't work as expected. Please let us know more about the issues you're facing so we can assist you better.,4
Every Sunday....... the buffer bar appears for football. @hulu_support #rethinkingthisidea #hulutv,Sorry! Which device are you using? We recommend trying the link below for a smoother experience: https://t.co/HXpLyTU79x.,5,Sorry! Which device are you using? Try checking under Browse > Networks > A-Z > NBC to see if Sunday Night Football is listed. Hope that helps!,5,"We understand that live TV sports can sometimes have buffering issues, especially on Sundays. We're sorry to hear you're experiencing this. Let's work together to find a solution that fits.",4
I’ll look into it. Thank you https://t.co/z87Q0YJIJq,You're welcome. Let us know if you have any other questions. ✅,5,"You're welcome! If you need any further assistance, feel free to reach out. 🙌",5,"You're welcome! If you need any further assistance, feel free to reach out.",5
"@hulu_support Okay, I paid you guys already for this month, so why is my service disconnected? Please send a DM message.",Oh no! We're sorry to see your service is disconnected. We are continuously working on making enhancements and will be sure to share your feedback. Could you please let us know more about your payment for this month?,3,"Oh no! We're sorry to hear your service is disconnected. We're always here to help, so feel free to share more details and we'll do our best to assist you! 😊",5,We apologize for any inconvenience this may have caused. We’re looking into your account to understand the situation better. Please allow us some time to review and get back to you with an update.,5
